iter	Logloss
0	0.6881032942
1	0.6827536283
2	0.6784739462
3	0.6738971988
4	0.6706690515
5	0.6667852325
6	0.6630191728
7	0.660066818
8	0.6573487833
9	0.6548796466
10	0.6528900061
11	0.649914347
12	0.6474876993
13	0.6455424565
14	0.6432772406
15	0.641870796
16	0.6407104021
17	0.6390800884
18	0.6376749677
19	0.6364641908
20	0.6352262548
21	0.6343099191
22	0.6330675706
23	0.6323477369
24	0.6312244973
25	0.6298953549
26	0.6291307093
27	0.6281918547
28	0.6274043407
29	0.626594656
30	0.6259312974
31	0.6252893098
32	0.624757164
33	0.6237758669
34	0.6233475423
35	0.62255162
36	0.6217521464
37	0.6213260701
38	0.620836798
39	0.6203767696
40	0.6198893571
41	0.6193340848
42	0.6187393629
43	0.6183953275
44	0.6176139875
45	0.6174101685
46	0.617140916
47	0.6168267095
48	0.6165637878
49	0.616335448
50	0.6160943648
51	0.6158621732
52	0.6157200932
53	0.6154237252
54	0.6151327639
55	0.6149683687
56	0.6144372303
57	0.6142328103
58	0.6140508812
59	0.6138072578
60	0.6136259814
61	0.6133622635
62	0.6131097963
63	0.6127010828
64	0.6124692454
65	0.6121405251
66	0.6119847347
67	0.611670032
68	0.6115281868
69	0.6114399708
70	0.6113046689
71	0.6111404586
72	0.6107778501
73	0.610600591
74	0.6104060511
75	0.6101783029
76	0.6100210042
77	0.6098165082
78	0.6095433539
79	0.6094370065
80	0.6091536881
81	0.6090717006
82	0.6089659391
83	0.6087984726
84	0.6087253557
85	0.6086416072
86	0.6085138804
87	0.6084519599
88	0.6083478337
89	0.608248526
90	0.6081134782
91	0.6079507745
92	0.6078797194
93	0.607714581
94	0.607665717
95	0.6075962486
96	0.6075721166
97	0.6074795242
98	0.6073902615
99	0.6073152205
100	0.6072167826
101	0.6071325233
102	0.6070403497
103	0.6068637041
104	0.6067577823
105	0.6066877472
106	0.6064985678
107	0.6063934992
108	0.6063557259
109	0.6063104381
110	0.6062949964
111	0.6061246594
112	0.6059857445
113	0.6059165995
114	0.6058791765
115	0.6058275068
116	0.6057269084
117	0.6056939961
118	0.6056403474
119	0.6055814322
120	0.6055541384
121	0.6055253497
122	0.6054916143
123	0.605450516
124	0.6054003769
125	0.6053324217
126	0.6052682944
127	0.6052264248
128	0.6052045973
129	0.605167527
130	0.6051315703
131	0.6050894872
132	0.6050660834
133	0.6049889865
134	0.6049281174
135	0.6048941921
136	0.6048711537
137	0.6047760868
138	0.6047098379
139	0.6046852495
140	0.6046337137
141	0.6045920071
142	0.6045664908
143	0.6045025686
144	0.6044625136
145	0.6043666794
146	0.6043363427
147	0.604314026
148	0.60428457
149	0.6042564355
150	0.6042291694
151	0.6041900181
152	0.6041777682
153	0.6041453719
154	0.6041031045
155	0.6040858695
156	0.6039761641
157	0.6039545292
158	0.6039274926
159	0.6039125738
160	0.6038547436
161	0.6038483666
162	0.6037870935
163	0.6037123236
164	0.6036992892
165	0.6036382261
166	0.6035703927
167	0.6035369729
168	0.6035176444
169	0.6034763841
170	0.6034568924
171	0.6034378517
172	0.6034243594
173	0.6034059481
174	0.603371068
175	0.6033633815
176	0.6033451352
177	0.6033370022
178	0.6033329839
179	0.6033095072
180	0.6032950961
181	0.6032593637
182	0.6032230345
183	0.6031872784
184	0.6031522336
185	0.6030911409
186	0.6030786925
187	0.6030562417
188	0.6030390677
189	0.6030068814
190	0.602988133
191	0.6029677075
192	0.6029603077
193	0.6029438971
194	0.6029218175
195	0.6029148046
196	0.6028978812
197	0.6028783659
198	0.6028625222
199	0.6028437252
200	0.6028274633
201	0.6027890035
202	0.6027690651
203	0.6027623139
204	0.6027561993
205	0.6027151248
206	0.602702996
207	0.6026757541
208	0.602613299
209	0.602603165
210	0.6025914448
211	0.6025720234
212	0.6025604362
213	0.6025571438
214	0.6025319271
215	0.602517286
216	0.6024874996
217	0.6024679295
218	0.6024582385
219	0.6024451313
220	0.602438282
221	0.6024233987
222	0.6024145859
223	0.6023992885
224	0.6023673752
225	0.6023456401
226	0.6023345151
227	0.6023251559
228	0.6023099751
229	0.6023046422
230	0.6023011177
